date	open	high	low	close
736832.000000	275.500000	278.000000	246.500000	250.500000
736833.000000	248.000000	269.000000	248.000000	269.000000
736834.000000	271.000000	280.500000	271.000000	280.500000
736837.000000	287.000000	287.000000	272.500000	272.500000
736838.000000	280.500000	284.500000	280.500000	283.000000
736839.000000	280.500000	295.000000	279.000000	280.500000
736840.000000	278.500000	278.500000	278.500000	278.500000
736841.000000	284.000000	284.000000	284.000000	284.000000
736846.000000	334.500000	368.500000	334.500000	368.500000
736848.000000	363.500000	373.000000	359.500000	359.500000
736852.000000	357.500000	357.500000	357.500000	357.500000
736853.000000	350.000000	350.000000	346.000000	346.000000
736854.000000	344.500000	344.500000	336.500000	336.500000
736855.000000	334.000000	335.000000	334.000000	335.000000
736858.000000	346.000000	346.000000	346.000000	346.000000
736860.000000	354.000000	354.000000	354.000000	354.000000
736862.000000	333.500000	333.500000	333.500000	333.500000
736866.000000	327.000000	327.000000	327.000000	327.000000
736867.000000	334.500000	334.500000	334.500000	334.500000
736868.000000	342.000000	351.500000	342.000000	351.500000
736869.000000	374.500000	378.000000	373.000000	373.000000
736876.000000	355.500000	371.500000	355.500000	369.000000
736881.000000	288.000000	293.000000	288.000000	288.500000
736882.000000	277.500000	278.500000	277.500000	278.500000
736886.000000	218.500000	222.500000	218.500000	222.500000
736887.000000	227.500000	238.000000	227.500000	238.000000
736889.000000	239.000000	286.000000	239.000000	286.000000
736893.000000	317.500000	317.500000	317.500000	317.500000
736895.000000	284.000000	284.000000	284.000000	284.000000
736897.000000	277.000000	277.000000	277.000000	277.000000
736901.000000	293.500000	293.500000	273.000000	273.000000
736902.000000	282.500000	308.500000	282.500000	306.500000
736903.000000	309.000000	309.000000	308.500000	308.500000
736904.000000	302.500000	302.500000	301.000000	301.000000
736907.000000	291.000000	305.500000	291.000000	301.000000
736908.000000	301.500000	301.500000	291.000000	291.000000
736909.000000	308.000000	308.000000	308.000000	308.000000
736910.000000	339.000000	339.000000	339.000000	339.000000
736911.000000	343.500000	343.500000	343.500000	343.500000
736914.000000	335.000000	335.000000	335.000000	335.000000
736915.000000	301.500000	303.000000	301.500000	303.000000
736916.000000	307.000000	308.000000	307.000000	307.000000
736917.000000	299.500000	299.500000	299.500000	299.500000
736918.000000	353.000000	355.000000	353.000000	355.000000
736921.000000	361.000000	361.000000	350.500000	350.500000
736923.000000	362.000000	362.000000	358.500000	358.500000
736924.000000	363.500000	365.000000	358.000000	358.000000
736925.000000	352.500000	354.000000	351.000000	354.000000
736928.000000	353.000000	358.500000	353.000000	358.500000
736929.000000	364.500000	372.500000	348.500000	351.000000
736930.000000	355.500000	355.500000	350.500000	354.000000
736931.000000	348.500000	364.500000	348.500000	358.000000
736937.000000	349.500000	352.500000	349.500000	352.500000
736938.000000	366.500000	367.500000	362.500000	365.000000
736939.000000	354.000000	354.000000	354.000000	354.000000
736942.000000	352.000000	353.500000	341.000000	341.000000
736944.000000	332.500000	332.500000	332.500000	332.500000
736946.000000	336.000000	341.500000	336.000000	341.500000
736949.000000	349.000000	350.500000	344.500000	345.500000
736950.000000	348.000000	348.000000	347.000000	347.000000
736951.000000	349.500000	349.500000	342.000000	346.500000
736956.000000	330.500000	330.500000	314.500000	314.500000
736957.000000	303.000000	303.000000	302.000000	302.000000
736959.000000	309.500000	309.500000	309.500000	309.500000
736960.000000	310.000000	310.000000	284.000000	284.000000
736963.000000	263.000000	263.000000	263.000000	263.000000
736964.000000	280.500000	280.500000	279.500000	279.500000
736965.000000	279.500000	285.000000	279.500000	281.000000
736966.000000	284.500000	290.500000	284.500000	290.500000
736967.000000	290.500000	309.500000	290.500000	309.500000
736977.000000	269.500000	276.000000	267.000000	276.000000
736978.000000	268.000000	273.000000	268.000000	273.000000
736979.000000	265.500000	278.000000	265.500000	276.500000
736981.000000	225.500000	226.000000	221.500000	226.000000
736984.000000	218.500000	218.500000	218.500000	218.500000
736985.000000	215.000000	215.000000	215.000000	215.000000
736986.000000	232.000000	232.000000	223.000000	223.000000
736987.000000	221.000000	221.500000	217.500000	219.000000
736988.000000	216.000000	217.000000	216.000000	217.000000
736991.000000	205.500000	224.500000	205.500000	224.500000
736992.000000	220.500000	231.500000	220.000000	231.500000
736993.000000	230.500000	230.500000	224.000000	224.500000
736995.000000	226.000000	251.000000	226.000000	247.000000
736998.000000	233.500000	236.000000	233.500000	236.000000
736999.000000	242.000000	242.000000	241.500000	241.500000
737000.000000	241.000000	246.500000	239.000000	239.000000
737001.000000	217.000000	223.000000	216.000000	223.000000
737002.000000	219.000000	219.000000	219.000000	219.000000
737005.000000	224.500000	236.000000	224.500000	232.500000
737006.000000	228.500000	228.500000	228.500000	228.500000
737007.000000	228.500000	228.500000	224.500000	225.000000
737008.000000	216.000000	225.500000	213.500000	213.500000
737009.000000	211.000000	236.000000	211.000000	235.500000
737012.000000	222.000000	222.000000	213.000000	213.000000
737013.000000	216.000000	228.500000	212.000000	224.500000
737014.000000	220.500000	237.000000	216.500000	231.000000
737015.000000	228.000000	230.000000	212.500000	212.500000
737016.000000	211.000000	220.500000	211.000000	213.000000
737019.000000	202.500000	202.500000	165.500000	171.000000
737020.000000	170.500000	174.000000	164.500000	164.500000
737021.000000	165.000000	171.500000	161.000000	170.000000
737022.000000	154.500000	168.500000	152.000000	166.500000
737023.000000	163.000000	163.500000	157.500000	158.000000
737026.000000	154.000000	168.500000	149.500000	167.000000
737027.000000	161.500000	162.000000	153.000000	160.500000
737028.000000	162.000000	165.500000	162.000000	163.500000
737029.000000	159.500000	172.500000	159.500000	170.500000
737030.000000	171.000000	181.000000	171.000000	181.000000
737033.000000	146.000000	146.000000	134.000000	136.500000
737034.000000	137.000000	142.000000	131.000000	139.500000
737035.000000	132.500000	132.500000	108.000000	111.500000
737036.000000	110.500000	136.500000	110.500000	131.000000
737037.000000	139.500000	143.000000	129.000000	129.000000
737040.000000	127.000000	156.000000	126.000000	150.000000
737041.000000	150.000000	154.500000	145.500000	153.000000
737042.000000	159.000000	159.000000	150.000000	152.000000
737043.000000	152.000000	162.000000	148.000000	160.500000
737044.000000	161.500000	293.000000	161.500000	174.000000
737047.000000	167.500000	177.500000	167.500000	172.500000
737048.000000	174.000000	176.000000	173.500000	174.000000
737049.000000	168.500000	183.000000	167.000000	181.500000
737050.000000	180.500000	189.500000	178.500000	189.500000
737051.000000	185.000000	190.000000	182.500000	190.000000
737054.000000	183.000000	183.500000	175.000000	181.500000
