date	open	high	low	close
737320.000000	17670.000000	17795.000000	17650.000000	17665.000000
737321.000000	17680.000000	17730.000000	17505.000000	17600.000000
737322.000000	17500.000000	17500.000000	16990.000000	17050.000000
737323.000000	17085.000000	17265.000000	17075.000000	17235.000000
737324.000000	17235.000000	17250.000000	17120.000000	17160.000000
737328.000000	17060.000000	17120.000000	16990.000000	17000.000000
737329.000000	17015.000000	17080.000000	16970.000000	17020.000000
737330.000000	17010.000000	17015.000000	16625.000000	16635.000000
737331.000000	16625.000000	16725.000000	16500.000000	16650.000000
737341.000000	16500.000000	16890.000000	16390.000000	16830.000000
737342.000000	16900.000000	16990.000000	16815.000000	16850.000000
737343.000000	16835.000000	16910.000000	16700.000000	16735.000000
737344.000000	16710.000000	16800.000000	16515.000000	16540.000000
737345.000000	16585.000000	16865.000000	16525.000000	16865.000000
737348.000000	16920.000000	16965.000000	16810.000000	16840.000000
737349.000000	16805.000000	16820.000000	16635.000000	16695.000000
737350.000000	16690.000000	16800.000000	16680.000000	16765.000000
737351.000000	16780.000000	16815.000000	16520.000000	16555.000000
737352.000000	16540.000000	16605.000000	16420.000000	16480.000000
737355.000000	16495.000000	16620.000000	16470.000000	16580.000000
737356.000000	16620.000000	16695.000000	16610.000000	16645.000000
737357.000000	16605.000000	16685.000000	16540.000000	16685.000000
737358.000000	16695.000000	16700.000000	16310.000000	16440.000000
737359.000000	16430.000000	16440.000000	16320.000000	16355.000000
737362.000000	16360.000000	16405.000000	16060.000000	16080.000000
737363.000000	16100.000000	16235.000000	16100.000000	16205.000000
