date	open	high	low	close
736804.000000	16525.000000	16525.000000	16105.000000	16105.000000
736810.000000	16175.000000	16175.000000	16175.000000	16175.000000
736811.000000	16280.000000	16450.000000	16280.000000	16450.000000
736813.000000	16565.000000	16565.000000	16565.000000	16565.000000
736820.000000	16430.000000	16430.000000	16430.000000	16430.000000
736827.000000	16210.000000	16210.000000	16210.000000	16210.000000
736830.000000	16120.000000	16210.000000	16120.000000	16210.000000
736838.000000	16125.000000	16125.000000	16125.000000	16125.000000
736840.000000	16070.000000	16070.000000	15985.000000	15985.000000
736841.000000	16120.000000	16125.000000	16120.000000	16125.000000
736848.000000	16240.000000	16335.000000	16240.000000	16335.000000
736851.000000	16520.000000	16520.000000	16520.000000	16520.000000
736852.000000	16585.000000	16680.000000	16585.000000	16680.000000
736854.000000	16645.000000	16645.000000	16645.000000	16645.000000
736855.000000	16785.000000	16865.000000	16785.000000	16865.000000
736858.000000	16965.000000	17085.000000	16955.000000	17080.000000
736859.000000	16905.000000	16905.000000	16780.000000	16780.000000
736860.000000	16515.000000	16515.000000	16515.000000	16515.000000
736862.000000	16600.000000	16650.000000	16600.000000	16640.000000
736865.000000	16695.000000	16895.000000	16695.000000	16895.000000
736866.000000	17270.000000	17270.000000	17270.000000	17270.000000
736867.000000	16890.000000	16890.000000	16890.000000	16890.000000
736872.000000	16815.000000	16925.000000	16815.000000	16925.000000
736873.000000	16925.000000	16925.000000	16925.000000	16925.000000
736874.000000	17365.000000	17470.000000	17365.000000	17470.000000
736876.000000	17360.000000	17395.000000	17360.000000	17395.000000
736879.000000	17375.000000	17425.000000	17000.000000	17425.000000
736881.000000	17005.000000	17005.000000	17000.000000	17000.000000
736882.000000	16965.000000	16965.000000	16965.000000	16965.000000
736883.000000	17240.000000	17240.000000	17240.000000	17240.000000
736887.000000	17265.000000	17290.000000	17265.000000	17290.000000
736888.000000	17510.000000	17510.000000	17510.000000	17510.000000
736890.000000	17465.000000	17465.000000	17200.000000	17230.000000
736893.000000	17335.000000	17435.000000	17335.000000	17430.000000
736894.000000	17605.000000	17605.000000	17440.000000	17440.000000
736895.000000	17350.000000	17440.000000	17345.000000	17345.000000
736896.000000	17210.000000	17210.000000	17210.000000	17210.000000
736900.000000	17515.000000	17555.000000	17510.000000	17555.000000
736901.000000	17465.000000	17585.000000	17465.000000	17540.000000
736902.000000	17705.000000	17705.000000	17705.000000	17705.000000
736903.000000	17895.000000	18070.000000	17895.000000	17945.000000
736904.000000	18005.000000	18005.000000	17945.000000	17945.000000
736907.000000	17930.000000	17930.000000	17930.000000	17930.000000
736910.000000	18395.000000	18475.000000	18325.000000	18325.000000
736914.000000	18410.000000	18795.000000	18320.000000	18745.000000
736916.000000	19180.000000	19215.000000	19180.000000	19215.000000
736917.000000	19105.000000	19105.000000	19105.000000	19105.000000
736918.000000	18985.000000	18985.000000	18865.000000	18865.000000
736921.000000	18725.000000	18725.000000	18725.000000	18725.000000
736922.000000	18985.000000	18985.000000	18985.000000	18985.000000
736923.000000	18970.000000	19065.000000	18970.000000	19065.000000
736924.000000	19585.000000	19950.000000	19585.000000	19830.000000
736925.000000	19465.000000	19465.000000	19265.000000	19265.000000
736928.000000	19595.000000	19595.000000	19280.000000	19425.000000
736929.000000	19340.000000	19340.000000	18900.000000	18950.000000
736930.000000	19320.000000	19580.000000	19320.000000	19435.000000
736931.000000	19270.000000	19270.000000	19105.000000	19105.000000
736932.000000	19010.000000	19010.000000	19010.000000	19010.000000
736935.000000	18535.000000	18535.000000	18535.000000	18535.000000
736938.000000	18950.000000	18950.000000	18950.000000	18950.000000
736939.000000	19100.000000	19100.000000	19100.000000	19100.000000
736942.000000	19170.000000	19400.000000	19135.000000	19240.000000
736943.000000	19025.000000	19025.000000	19025.000000	19025.000000
736944.000000	18785.000000	18835.000000	18555.000000	18620.000000
736945.000000	18555.000000	18555.000000	18300.000000	18300.000000
736949.000000	17700.000000	17700.000000	17595.000000	17595.000000
736951.000000	17700.000000	17700.000000	17700.000000	17700.000000
736956.000000	18425.000000	18695.000000	18425.000000	18695.000000
736957.000000	18535.000000	18535.000000	18535.000000	18535.000000
736958.000000	18545.000000	18570.000000	18545.000000	18570.000000
736959.000000	19495.000000	19495.000000	18925.000000	18925.000000
736960.000000	19200.000000	19200.000000	18500.000000	18600.000000
736963.000000	18985.000000	18985.000000	18985.000000	18985.000000
736964.000000	19385.000000	19385.000000	19380.000000	19380.000000
736965.000000	19065.000000	19275.000000	19065.000000	19275.000000
736966.000000	19060.000000	19465.000000	19060.000000	19465.000000
736967.000000	19565.000000	19750.000000	19565.000000	19750.000000
736978.000000	19555.000000	19555.000000	19555.000000	19555.000000
736979.000000	19555.000000	19775.000000	19550.000000	19700.000000
736980.000000	19555.000000	19830.000000	19550.000000	19830.000000
736981.000000	19875.000000	20250.000000	19875.000000	20100.000000
736985.000000	20080.000000	20080.000000	19955.000000	19955.000000
736986.000000	19300.000000	19300.000000	19300.000000	19300.000000
736987.000000	19195.000000	19350.000000	19080.000000	19080.000000
736988.000000	18830.000000	19220.000000	18830.000000	19220.000000
736993.000000	19105.000000	19105.000000	19030.000000	19030.000000
736994.000000	19105.000000	19105.000000	19105.000000	19105.000000
736995.000000	19000.000000	19000.000000	18570.000000	18615.000000
736999.000000	18270.000000	18660.000000	18270.000000	18660.000000
737000.000000	18525.000000	18905.000000	18525.000000	18860.000000
737001.000000	18765.000000	18850.000000	18710.000000	18760.000000
737005.000000	18715.000000	18800.000000	18715.000000	18800.000000
737006.000000	19110.000000	19110.000000	18955.000000	18955.000000
737007.000000	18980.000000	18980.000000	18905.000000	18940.000000
737009.000000	19100.000000	19370.000000	19100.000000	19325.000000
737012.000000	19320.000000	19400.000000	19320.000000	19400.000000
737013.000000	19190.000000	19320.000000	19190.000000	19320.000000
737014.000000	18670.000000	18685.000000	18670.000000	18670.000000
737015.000000	18590.000000	18625.000000	18495.000000	18495.000000
737016.000000	18370.000000	18370.000000	18370.000000	18370.000000
737019.000000	18700.000000	18700.000000	18670.000000	18670.000000
737020.000000	18525.000000	18565.000000	18520.000000	18565.000000
737022.000000	18780.000000	18780.000000	18505.000000	18505.000000
737023.000000	18435.000000	18435.000000	18435.000000	18435.000000
737026.000000	18575.000000	18575.000000	18375.000000	18410.000000
737027.000000	18450.000000	18450.000000	18345.000000	18365.000000
737029.000000	18265.000000	18385.000000	18265.000000	18295.000000
737030.000000	18610.000000	18615.000000	18515.000000	18575.000000
737033.000000	18815.000000	19220.000000	18750.000000	19000.000000
737034.000000	19090.000000	19090.000000	18920.000000	18920.000000
737035.000000	18770.000000	18770.000000	18565.000000	18675.000000
737036.000000	18820.000000	18860.000000	18770.000000	18770.000000
737037.000000	18875.000000	18875.000000	18520.000000	18630.000000
737040.000000	18565.000000	18600.000000	18430.000000	18430.000000
737041.000000	18930.000000	18930.000000	18605.000000	18865.000000
737042.000000	18970.000000	19030.000000	18950.000000	18950.000000
737043.000000	19070.000000	19085.000000	18920.000000	18920.000000
737044.000000	18850.000000	19030.000000	18820.000000	18900.000000
737047.000000	19010.000000	19360.000000	19010.000000	19130.000000
737048.000000	19270.000000	19305.000000	19160.000000	19160.000000
737049.000000	19160.000000	19245.000000	19145.000000	19220.000000
737050.000000	19205.000000	19205.000000	18925.000000	19040.000000
737051.000000	18900.000000	19010.000000	18900.000000	18925.000000
737054.000000	18860.000000	19125.000000	18860.000000	18980.000000
737055.000000	19005.000000	19050.000000	18835.000000	18970.000000
737056.000000	18965.000000	19040.000000	18860.000000	18970.000000
737057.000000	19015.000000	19210.000000	19010.000000	19145.000000
737058.000000	19100.000000	19160.000000	19070.000000	19125.000000
737062.000000	19180.000000	19185.000000	18850.000000	18915.000000
737063.000000	19145.000000	19345.000000	19140.000000	19295.000000
737064.000000	19320.000000	19455.000000	19220.000000	19445.000000
737065.000000	19455.000000	19455.000000	19320.000000	19325.000000
737068.000000	19430.000000	19500.000000	19330.000000	19420.000000
737069.000000	19315.000000	19665.000000	19315.000000	19525.000000
737070.000000	19540.000000	19615.000000	19300.000000	19405.000000
737071.000000	19500.000000	19500.000000	19350.000000	19420.000000
737072.000000	19430.000000	19430.000000	19180.000000	19300.000000
737075.000000	19150.000000	19250.000000	19050.000000	19250.000000
737076.000000	19265.000000	19265.000000	18820.000000	18885.000000
737077.000000	18850.000000	19220.000000	18850.000000	19170.000000
737078.000000	19170.000000	19300.000000	19060.000000	19290.000000
737079.000000	19400.000000	19540.000000	19310.000000	19515.000000
737082.000000	19490.000000	19490.000000	19285.000000	19465.000000
737083.000000	19485.000000	19765.000000	19415.000000	19760.000000
737084.000000	19680.000000	19740.000000	19515.000000	19520.000000
737085.000000	19565.000000	19850.000000	19535.000000	19620.000000
737086.000000	19555.000000	19635.000000	19410.000000	19475.000000
737089.000000	19545.000000	19850.000000	19470.000000	19750.000000
737090.000000	19750.000000	19810.000000	19475.000000	19525.000000
737091.000000	19620.000000	19630.000000	19365.000000	19410.000000
737092.000000	19450.000000	19625.000000	19375.000000	19560.000000
737093.000000	19665.000000	19755.000000	19580.000000	19650.000000
737096.000000	19625.000000	19740.000000	19485.000000	19535.000000
737097.000000	19470.000000	19635.000000	19400.000000	19450.000000
737098.000000	19350.000000	19480.000000	19155.000000	19210.000000
737099.000000	19145.000000	19250.000000	19005.000000	19045.000000
737100.000000	19105.000000	19195.000000	18975.000000	19050.000000
737103.000000	19100.000000	19175.000000	19020.000000	19045.000000
737104.000000	19040.000000	19040.000000	18910.000000	19005.000000
737105.000000	19000.000000	19340.000000	18985.000000	19315.000000
737113.000000	19285.000000	19340.000000	19155.000000	19295.000000
737114.000000	19240.000000	19440.000000	19240.000000	19375.000000
737117.000000	19300.000000	19465.000000	19255.000000	19430.000000
737118.000000	19485.000000	19575.000000	19430.000000	19500.000000
737119.000000	19485.000000	19490.000000	19145.000000	19205.000000
737120.000000	19175.000000	19180.000000	19035.000000	19080.000000
737121.000000	18925.000000	18930.000000	18775.000000	18895.000000
737124.000000	18880.000000	18950.000000	18730.000000	18750.000000
737125.000000	18660.000000	18730.000000	18500.000000	18640.000000
737126.000000	18670.000000	18775.000000	18615.000000	18715.000000
737127.000000	18700.000000	18750.000000	18440.000000	18580.000000
737128.000000	18510.000000	18590.000000	18315.000000	18475.000000
737131.000000	18465.000000	18600.000000	18375.000000	18445.000000
737132.000000	18365.000000	18395.000000	18105.000000	18190.000000
737133.000000	18485.000000	18575.000000	18320.000000	18540.000000
737134.000000	18665.000000	18800.000000	18560.000000	18700.000000
737135.000000	18655.000000	18730.000000	18595.000000	18610.000000
737138.000000	18625.000000	18720.000000	18405.000000	18440.000000
737139.000000	18490.000000	18525.000000	18365.000000	18435.000000
737140.000000	18490.000000	18550.000000	18280.000000	18470.000000
