datetime	open	high	low	close
2018-08-21 00:00:00	3539.000000	3540.000000	3539.000000	3539.000000
2018-08-21 00:01:00	3540.000000	3541.000000	3540.000000	3540.000000
2018-08-21 00:02:00	3540.000000	3541.000000	3540.000000	3541.000000
2018-08-21 00:03:00	3541.000000	3541.000000	3540.000000	3540.000000
2018-08-21 00:04:00	3541.000000	3541.000000	3540.000000	3541.000000
2018-08-21 00:05:00	3541.000000	3541.000000	3541.000000	3541.000000
2018-08-21 00:06:00	3541.000000	3541.000000	3540.000000	3540.000000
2018-08-21 00:07:00	3541.000000	3541.000000	3539.000000	3539.000000
2018-08-21 00:08:00	3539.000000	3540.000000	3539.000000	3540.000000
2018-08-21 00:09:00	3540.000000	3541.000000	3539.000000	3540.000000
2018-08-21 00:10:00	3541.000000	3541.000000	3541.000000	3541.000000
2018-08-21 00:11:00	3541.000000	3542.000000	3541.000000	3542.000000
2018-08-21 00:12:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 00:13:00	3543.000000	3543.000000	3542.000000	3543.000000
2018-08-21 00:14:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 00:15:00	3543.000000	3544.000000	3543.000000	3543.000000
2018-08-21 00:16:00	3544.000000	3544.000000	3543.000000	3544.000000
2018-08-21 00:17:00	3544.000000	3544.000000	3543.000000	3543.000000
2018-08-21 00:18:00	3544.000000	3544.000000	3543.000000	3544.000000
2018-08-21 00:19:00	3544.000000	3545.000000	3544.000000	3545.000000
2018-08-21 00:20:00	3544.000000	3545.000000	3544.000000	3545.000000
2018-08-21 00:21:00	3546.000000	3547.000000	3545.000000	3546.000000
2018-08-21 00:22:00	3546.000000	3547.000000	3546.000000	3546.000000
2018-08-21 00:23:00	3546.000000	3548.000000	3546.000000	3547.000000
2018-08-21 00:24:00	3547.000000	3547.000000	3545.000000	3546.000000
2018-08-21 00:25:00	3546.000000	3546.000000	3545.000000	3545.000000
2018-08-21 00:26:00	3545.000000	3546.000000	3545.000000	3546.000000
2018-08-21 00:27:00	3546.000000	3547.000000	3546.000000	3546.000000
2018-08-21 00:28:00	3546.000000	3547.000000	3546.000000	3547.000000
2018-08-21 00:29:00	3547.000000	3548.000000	3547.000000	3547.000000
2018-08-21 00:30:00	3548.000000	3548.000000	3546.000000	3547.000000
2018-08-21 00:31:00	3547.000000	3547.000000	3546.000000	3546.000000
2018-08-21 00:32:00	3546.000000	3547.000000	3545.000000	3546.000000
2018-08-21 00:33:00	3545.000000	3546.000000	3545.000000	3546.000000
2018-08-21 00:34:00	3545.000000	3546.000000	3545.000000	3545.000000
2018-08-21 00:35:00	3545.000000	3545.000000	3544.000000	3545.000000
2018-08-21 00:36:00	3545.000000	3546.000000	3545.000000	3545.000000
2018-08-21 00:37:00	3546.000000	3546.000000	3545.000000	3545.000000
2018-08-21 00:38:00	3545.000000	3546.000000	3545.000000	3546.000000
2018-08-21 00:39:00	3546.000000	3546.000000	3546.000000	3546.000000
2018-08-21 00:40:00	3546.000000	3546.000000	3546.000000	3546.000000
2018-08-21 00:41:00	3545.000000	3546.000000	3544.000000	3544.000000
2018-08-21 00:42:00	3544.000000	3545.000000	3544.000000	3545.000000
2018-08-21 00:43:00	3545.000000	3546.000000	3544.000000	3544.000000
2018-08-21 00:44:00	3544.000000	3545.000000	3543.000000	3544.000000
2018-08-21 00:45:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 00:46:00	3544.000000	3545.000000	3543.000000	3544.000000
2018-08-21 00:47:00	3544.000000	3544.000000	3544.000000	3544.000000
2018-08-21 00:48:00	3545.000000	3545.000000	3542.000000	3543.000000
2018-08-21 00:49:00	3543.000000	3543.000000	3542.000000	3543.000000
2018-08-21 00:50:00	3544.000000	3545.000000	3544.000000	3544.000000
2018-08-21 00:51:00	3544.000000	3545.000000	3544.000000	3544.000000
2018-08-21 00:52:00	3544.000000	3544.000000	3543.000000	3543.000000
2018-08-21 00:53:00	3544.000000	3544.000000	3543.000000	3543.000000
2018-08-21 00:54:00	3543.000000	3546.000000	3543.000000	3546.000000
2018-08-21 00:55:00	3545.000000	3545.000000	3544.000000	3544.000000
2018-08-21 00:56:00	3544.000000	3545.000000	3544.000000	3545.000000
2018-08-21 00:57:00	3544.000000	3544.000000	3542.000000	3542.000000
2018-08-21 00:58:00	3542.000000	3543.000000	3541.000000	3543.000000
2018-08-21 00:59:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 01:00:00	3544.000000	3544.000000	3544.000000	3544.000000
2018-08-21 01:01:00	3545.000000	3545.000000	3544.000000	3544.000000
2018-08-21 01:02:00	3545.000000	3545.000000	3544.000000	3545.000000
2018-08-21 01:03:00	3545.000000	3545.000000	3544.000000	3545.000000
2018-08-21 01:04:00	3545.000000	3545.000000	3543.000000	3543.000000
2018-08-21 01:05:00	3543.000000	3543.000000	3542.000000	3542.000000
2018-08-21 01:06:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:07:00	3543.000000	3543.000000	3542.000000	3542.000000
2018-08-21 01:08:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:09:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:10:00	3543.000000	3543.000000	3541.000000	3542.000000
2018-08-21 01:11:00	3541.000000	3542.000000	3541.000000	3541.000000
2018-08-21 01:12:00	3541.000000	3544.000000	3541.000000	3543.000000
2018-08-21 01:13:00	3543.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:14:00	3543.000000	3543.000000	3541.000000	3541.000000
2018-08-21 01:15:00	3542.000000	3542.000000	3541.000000	3542.000000
2018-08-21 01:16:00	3542.000000	3542.000000	3540.000000	3540.000000
2018-08-21 01:17:00	3540.000000	3541.000000	3540.000000	3541.000000
2018-08-21 01:18:00	3541.000000	3543.000000	3541.000000	3543.000000
2018-08-21 01:19:00	3542.000000	3542.000000	3541.000000	3542.000000
2018-08-21 01:20:00	3542.000000	3542.000000	3541.000000	3541.000000
2018-08-21 01:21:00	3542.000000	3542.000000	3542.000000	3542.000000
2018-08-21 01:22:00	3542.000000	3542.000000	3541.000000	3541.000000
2018-08-21 01:23:00	3541.000000	3542.000000	3541.000000	3542.000000
2018-08-21 01:24:00	3541.000000	3543.000000	3541.000000	3542.000000
2018-08-21 01:25:00	3542.000000	3542.000000	3541.000000	3541.000000
2018-08-21 01:26:00	3542.000000	3543.000000	3541.000000	3542.000000
2018-08-21 01:27:00	3543.000000	3543.000000	3542.000000	3542.000000
2018-08-21 01:28:00	3542.000000	3544.000000	3542.000000	3543.000000
2018-08-21 01:29:00	3544.000000	3545.000000	3543.000000	3545.000000
2018-08-21 01:30:00	3544.000000	3545.000000	3543.000000	3543.000000
2018-08-21 01:31:00	3544.000000	3544.000000	3543.000000	3543.000000
2018-08-21 01:32:00	3544.000000	3544.000000	3543.000000	3544.000000
2018-08-21 01:33:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 01:34:00	3544.000000	3545.000000	3544.000000	3544.000000
2018-08-21 01:35:00	3545.000000	3545.000000	3545.000000	3545.000000
2018-08-21 01:36:00	3544.000000	3545.000000	3544.000000	3544.000000
2018-08-21 01:37:00	3544.000000	3545.000000	3544.000000	3544.000000
2018-08-21 01:38:00	3544.000000	3544.000000	3544.000000	3544.000000
2018-08-21 01:39:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 01:40:00	3544.000000	3544.000000	3544.000000	3544.000000
2018-08-21 01:41:00	3543.000000	3544.000000	3543.000000	3543.000000
2018-08-21 01:42:00	3543.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:43:00	3543.000000	3544.000000	3543.000000	3544.000000
2018-08-21 01:44:00	3543.000000	3544.000000	3543.000000	3543.000000
2018-08-21 01:45:00	3543.000000	3543.000000	3543.000000	3543.000000
2018-08-21 01:46:00	3543.000000	3543.000000	3543.000000	3543.000000
2018-08-21 01:47:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:48:00	3543.000000	3543.000000	3543.000000	3543.000000
2018-08-21 01:49:00	3543.000000	3543.000000	3543.000000	3543.000000
2018-08-21 01:50:00	3543.000000	3543.000000	3542.000000	3542.000000
2018-08-21 01:51:00	3542.000000	3543.000000	3542.000000	3543.000000
2018-08-21 01:52:00	3542.000000	3543.000000	3542.000000	3542.000000
2018-08-21 01:53:00	3543.000000	3543.000000	3543.000000	3543.000000
