datetime	open	high	low	close
2018-09-26 00:00:00	14635.000000	14645.000000	14635.000000	14640.000000
2018-09-26 00:01:00	14645.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:02:00	14645.000000	14645.000000	14645.000000	14645.000000
2018-09-26 00:03:00	14645.000000	14645.000000	14640.000000	14645.000000
2018-09-26 00:04:00	14640.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:05:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:06:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:07:00	14640.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:08:00	14640.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:09:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:10:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:11:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:12:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:13:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:14:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:15:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:16:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:17:00	14640.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:18:00	14640.000000	14645.000000	14635.000000	14640.000000
2018-09-26 00:19:00	14640.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:20:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:21:00	14645.000000	14645.000000	14645.000000	14645.000000
2018-09-26 00:22:00	14645.000000	14645.000000	14635.000000	14640.000000
2018-09-26 00:23:00	14640.000000	14645.000000	14635.000000	14645.000000
2018-09-26 00:24:00	14645.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:25:00	14645.000000	14645.000000	14645.000000	14645.000000
2018-09-26 00:26:00	14645.000000	14645.000000	14645.000000	14645.000000
2018-09-26 00:27:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:28:00	14640.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:30:00	14640.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:31:00	14640.000000	14645.000000	14640.000000	14640.000000
2018-09-26 00:33:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:34:00	14645.000000	14645.000000	14635.000000	14640.000000
2018-09-26 00:35:00	14640.000000	14640.000000	14640.000000	14640.000000
2018-09-26 00:36:00	14640.000000	14640.000000	14635.000000	14640.000000
2018-09-26 00:38:00	14635.000000	14635.000000	14630.000000	14630.000000
2018-09-26 00:39:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:40:00	14635.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:41:00	14635.000000	14635.000000	14630.000000	14635.000000
2018-09-26 00:42:00	14630.000000	14630.000000	14630.000000	14630.000000
2018-09-26 00:43:00	14635.000000	14635.000000	14630.000000	14630.000000
2018-09-26 00:44:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:45:00	14635.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:46:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:47:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:48:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:49:00	14635.000000	14635.000000	14630.000000	14630.000000
2018-09-26 00:50:00	14635.000000	14635.000000	14630.000000	14630.000000
2018-09-26 00:51:00	14635.000000	14635.000000	14630.000000	14630.000000
2018-09-26 00:52:00	14630.000000	14630.000000	14630.000000	14630.000000
2018-09-26 00:53:00	14630.000000	14630.000000	14630.000000	14630.000000
2018-09-26 00:54:00	14635.000000	14635.000000	14635.000000	14635.000000
2018-09-26 00:55:00	14630.000000	14640.000000	14630.000000	14635.000000
2018-09-26 00:56:00	14635.000000	14640.000000	14635.000000	14640.000000
2018-09-26 00:57:00	14635.000000	14640.000000	14630.000000	14630.000000
2018-09-26 00:58:00	14635.000000	14640.000000	14635.000000	14635.000000
2018-09-26 00:59:00	14635.000000	14645.000000	14635.000000	14640.000000
